,split,threshold,rmse,mse,mae,r2,spearman,kendalls_tau,pearson
0,0,55,1.0658091958723521,1.1359492420060697,0.8333272453903433,0.09714373443050905,0.4786293025693796,0.33562801392616215,0.461561783606701
1,0,60,1.0301234041404865,1.061154227757984,0.7837863213799037,0.04826821826320382,0.49997457255384614,0.3462222084716252,0.4693105786101009
2,1,55,0.9706443433366433,0.9421504412514234,0.756409319424995,0.20040928080308873,0.56287347072719,0.39550237336113725,0.540121303729099
3,1,60,0.978189248175771,0.9568542052466802,0.7768313630327764,0.17122611597115123,0.45179005647119275,0.3095688188671014,0.46724389905281527
4,2,55,1.027737738594564,1.0562448593314686,0.7811240489352962,0.04766264651232999,0.43802278791604604,0.30561364826958637,0.46238152392580295
5,2,60,1.1703815256030017,1.3697929154728097,0.8965954260044214,0.029261247369207988,0.42217313478458174,0.29201620612069923,0.40338317954351155
6,3,55,1.03464733772016,1.0704951134514147,0.8036884027917134,0.06276252095817958,0.48164736479075015,0.33047304951240347,0.4508973516435345
7,3,60,1.014202049269453,1.0286057967423579,0.7858565765851528,0.014856822682065673,0.3747197340440915,0.25656417164644746,0.38629210139398285
8,4,55,0.9927980890484235,0.9856480456182013,0.758704101427542,0.17384101771391758,0.5265807961771884,0.37601026213284516,0.509224690522858
9,4,60,1.034454956790254,1.0700970576279263,0.7975219019349599,-0.03688595149467022,0.374827095897972,0.2613035427453924,0.38094217246983797
