,split,threshold,rmse,mse,mae,r2,spearman,kendalls_tau,pearson
0,0,55,1.1512199150157263,1.3253072927288163,0.9122372556499373,-4.291690598095617,0.19910718921714046,0.13504124666625766,0.13348596727639037
1,0,60,1.0153211643310764,1.0308770667386127,0.7983855782069685,-3.172881655390645,0.07626456106615705,0.052843569520767054,0.06711352867787496
2,1,55,0.829992628018583,0.6888877625651938,0.6571497160859416,-2.6078856397033268,0.33654828377126833,0.23024800830239275,0.3215146842268643
3,1,60,0.9679741859327777,0.9369740246322237,0.7529963480780995,-1.6998395939516788,0.14308982228367442,0.0963787919436504,0.11275223376171449
4,2,55,1.057214962598361,1.1177034771418537,0.7839518851081103,-4.576268625119331,0.052855871929727766,0.03657115155670242,0.007760786118582377
5,2,60,1.403615308054945,1.970135933006178,1.1006354190213585,-4.4142218853793835,-0.031798336125120896,-0.023036945534009114,-0.07687017552867643
6,3,55,1.030815924291488,1.062581469772915,0.8030312481116958,-3.76208716098129,0.15459051195917559,0.10617870646850783,0.16267821932999557
7,3,60,1.0129926767695603,1.0261541631887587,0.7784785629489922,-3.3694774855556986,0.08963204341210704,0.05964561531308662,0.09104548552996806
8,4,55,1.062900412505427,1.129757286904207,0.8211180447995138,-4.944673479909616,0.2160453470921369,0.1424023406697865,0.19195909327735625
9,4,60,1.0717767736590844,1.1487054525550764,0.8423035265477118,-4.818422411202909,0.2999917124074695,0.20012872566778214,0.26016886601846406
