,split,threshold,rmse,mse,mae,r2,spearman,kendalls_tau,pearson
0,0,55,1.0057414327214813,1.011515829492658,0.8029674527527717,0.2354983181136071,0.5468412582851905,0.3839501042063163,0.5399022704279115
1,0,60,0.9776160611887368,0.9557331630941799,0.7357292415029956,0.14083006827839628,0.5714994007918539,0.4022320642667945,0.5397655510263454
2,1,55,1.0464055529499892,1.0949645812445725,0.797929525974958,0.09093653465123797,0.5366349257827016,0.3781735075373154,0.5181247082763094
3,1,60,1.0002467614179449,1.0004935837270872,0.7873006195296265,0.26710947531242424,0.5473137834662576,0.38028510890036504,0.5324556347564269
4,2,55,0.9764711257194361,0.9534958593637827,0.7521716174076413,0.2361091438066194,0.5681137606314485,0.39910467428708324,0.5669766745672946
5,2,60,1.2417218457209314,1.5418731421405962,0.9362965672418858,0.050587291739362605,0.4340765762653946,0.3037415796377711,0.42015508934163637
6,3,55,0.9813533968856074,0.9630544895789205,0.7750189958265531,0.14573743900227765,0.5140969679175363,0.35316855354216703,0.49847209127620823
7,3,60,1.0304047253658088,1.061733898056188,0.8122565214622784,0.1694333231295001,0.45414581392853265,0.30689152634265854,0.48216721745877045
8,4,55,0.9376714233178699,0.87922769810696,0.7262522535141961,0.39351744627172636,0.6653778284193784,0.487834840442763,0.6463242665443323
9,4,60,0.9638447219444989,0.9289966480202683,0.7671371176339603,0.19559954938522206,0.4654015099369427,0.3269703453939252,0.5089005058809837
