,split,threshold,rmse,mse,mae,r2,spearman,kendalls_tau,pearson
0,0,55,1.081568911415297,1.1697913101400705,0.8388447105706087,-0.04247625336608518,0.4146717795861324,0.2900658803893085,0.3649155602872026
1,0,60,0.9924474445503837,0.9849519301945868,0.7683217821437839,0.0573649841287468,0.48271130759878705,0.33694117330526374,0.4380781406916132
2,1,55,0.8864631745375874,0.7858169598112572,0.7047147301214525,0.23814340168500137,0.5300055868528657,0.37088063370035035,0.5263060113831871
3,1,60,1.0105822117957668,1.021276406798024,0.8116711717355998,0.13735672556606193,0.4009837161662857,0.2746912169432575,0.43437107896035665
4,2,55,1.0371470147895763,1.0756739302869294,0.7847135996944049,-0.03460086431543363,0.4020276078657173,0.28232979275117787,0.4270059825023318
5,2,60,1.1894266881459097,1.414735846473747,0.9068237365124022,-0.04330213509828318,0.3904325668630496,0.26945139918199124,0.3675362586376766
6,3,55,1.047894851987452,1.0980836208218039,0.8184788961909575,0.04413131358700073,0.48238088527887335,0.3302456034245547,0.43683819863453827
7,3,60,1.0058577432182498,1.0117497995921108,0.7739390566248742,-0.05403041694953936,0.35123358197222015,0.24112972742695019,0.33980890316795237
8,4,55,0.9926125166263348,0.9852796081632658,0.7597671558174303,0.08961140723364824,0.47149084227538846,0.33465308044695363,0.4573013543890747
9,4,60,1.095131870971586,1.1993138148177265,0.8313157088178695,-0.18214401180539452,0.3173751758872051,0.22288877825611783,0.3024453678098263
