,split,threshold,balanced_accuracy,precision,recall,f1,mcc
0,0,55,0.81,0.64,0.8,0.7111111111111111,0.5845416057808793
1,0,60,0.6637046307884856,0.5625,0.574468085106383,0.5684210526315789,0.3259035494548828
2,1,55,0.4523809523809524,0.2,0.09523809523809523,0.12903225806451613,-0.12285902336679023
3,1,60,0.6943889443889444,0.7096774193548387,0.5641025641025641,0.6285714285714286,0.40560506806365443
4,2,55,0.6100788288288288,0.4153846153846154,0.5625,0.47787610619469023,0.20558683418032103
5,2,60,0.6401433691756273,0.4492753623188406,0.6888888888888889,0.543859649122807,0.2627853742640954
6,3,55,0.568649885583524,0.4444444444444444,0.34782608695652173,0.3902439024390244,0.14762660488868531
7,3,60,0.5642857142857143,0.44,0.6285714285714286,0.5176470588235295,0.12571745323852407
8,4,55,0.5385456533624932,0.6862745098039216,0.5932203389830508,0.6363636363636364,0.07392560175190074
9,4,60,0.4514224369296833,0.3829787234042553,0.2608695652173913,0.3103448275862069,-0.10439152294545817
