,split,threshold,balanced_accuracy,precision,recall,f1,mcc
0,0,55,0.7050000000000001,0.46875,0.75,0.5769230769230769,0.37180657818138096
1,0,60,0.8112640801001252,0.7254901960784313,0.7872340425531915,0.7551020408163265,0.6121950249620138
2,1,55,0.5714285714285714,0.6666666666666666,0.19047619047619047,0.2962962962962963,0.22941573387056174
3,1,60,0.6427738927738927,0.631578947368421,0.5128205128205128,0.5660377358490566,0.2964244012165065
4,2,55,0.683277027027027,0.5,0.6458333333333334,0.5636363636363636,0.34501535454704585
5,2,60,0.5315412186379929,0.38235294117647056,0.28888888888888886,0.3291139240506329,0.06862779851306655
6,3,55,0.624370709382151,0.4716981132075472,0.5434782608695652,0.5050505050505051,0.24077398166751046
7,3,60,0.4714285714285714,0.35135135135135137,0.37142857142857144,0.36111111111111116,-0.05659684799706785
8,4,55,0.5513942044833242,0.7105263157894737,0.4576271186440678,0.5567010309278351,0.09889117256356564
9,4,60,0.4643048845947397,0.3333333333333333,0.10144927536231885,0.15555555555555556,-0.10254189483766327
