,split,threshold,rmse,mse,mae,r2,spearman,kendalls_tau,pearson
0,0,55,0.9951018403681684,0.9902276727041156,0.7704020809324594,0.25158786530068855,0.5383753564202658,0.3767428496904981,0.5233960846251048
1,0,60,0.8881330847840639,0.7887803762880573,0.7010256021906165,0.29091465253260285,0.5397414583987176,0.3823800209406728,0.5473127780012359
2,1,55,0.9879412118806659,0.9760278381322387,0.7941833870383203,0.18968041157929338,0.46637487458834764,0.3229809864782238,0.4794950316477716
3,1,60,1.0663277665070652,1.1370549056239463,0.8612677653608977,0.1670743521643293,0.3831800354447585,0.2606953523090113,0.41620246108726244
4,2,55,0.9746982819138225,0.9500367407657574,0.7650538665923711,0.2388804081404604,0.5311504951495468,0.36330961450730653,0.5344337678045035
5,2,60,1.0934806675121236,1.1956999702227595,0.8799060139542293,0.2637443924729581,0.5720562063013104,0.4040601388321288,0.5622427237612126
6,3,55,0.9635920987593714,0.9285097327914901,0.7841596870282577,0.17637983018740844,0.44605226049328933,0.307899469660861,0.43602386273218796
7,3,60,1.0763553407442765,1.1585408195487275,0.8602803165142617,0.09370379878321533,0.32411214053614235,0.22105359087317433,0.337527621390726
8,4,55,1.0298833002365864,1.0606596121062026,0.8436972592688343,0.26836750983662194,0.5778185213452534,0.40307064895538997,0.5642180085961026
9,4,60,0.959513428616684,0.9206660196957444,0.7672073067284376,0.20281288130889663,0.407105615848943,0.2779337042416378,0.4626006824254254
