,split,threshold,rmse,mse,mae,r2,spearman,kendalls_tau,pearson
0,0,55,0.8457108069938194,0.7152267690661372,0.6365182914697132,-1.8557594077527035,0.1340902892430811,0.09183516961388803,0.0854830119438739
1,0,60,0.8438922559591278,0.712154139667786,0.6759644954245474,-1.8827248574186384,0.2629144973924519,0.17745949080812617,0.20647068315702982
2,1,55,0.7941048906544215,0.6306025773612707,0.6543839332288359,-2.302630859270524,0.3903638707193139,0.2602153521271819,0.36113560455754096
3,1,60,0.9956194854617193,0.9912581598310587,0.7763031515542385,-1.8562563714506783,0.1048687862766267,0.07224143174717432,0.07709665255648182
4,2,55,0.747342568671213,0.5585209149480866,0.583862513431194,-1.7864838198966115,0.11999167101940239,0.08074509847611855,0.10880946509381438
5,2,60,1.0901654811823125,1.1884607763614627,0.9009554760560667,-2.266064151965816,0.2473771690579849,0.16345736638192876,0.19292381504695238
6,3,55,0.8456545644302157,0.7151316423416578,0.6952583951237682,-2.204948805604965,0.28169229963311837,0.19126153227466236,0.27573031547460886
7,3,60,0.9316319122758557,0.8679380199707678,0.7316738766200034,-2.69577571593641,0.09631029877243538,0.06498912600554244,0.06341122496657953
8,4,55,0.9475782162677564,0.8979044759451829,0.7938701783265145,-3.7246864326674283,0.14739103970919437,0.09706927220828648,0.13573434356585096
9,4,60,0.9168289362797566,0.8405752983998699,0.7533130492068085,-3.257681674300991,0.07740868398670966,0.05027864536481226,0.10963645782237655
